log_name,NSP,F1 Score,Accuracy,Precision,Recall
bpic15-0.3-4,0.6419394016265869,0.5168776371308017,0.5650522317188984,0.38221528861154447,0.7980456026058632
large-0.3-4,0.8810995817184448,0.8721633888048411,0.9324,1.0,0.7733065057008719
small-0.3-4,0.88938969373703,0.8314864348490638,0.9118,1.0,0.7115761935905821
bpic13-0.3-3,0.5235456824302673,0.3036649214659686,0.8376068376068376,1.0,0.17901234567901234
medium-0.3-3,0.7734039425849915,0.7206005004170142,0.866,1.0,0.5632333767926988
medium-0.3-1,0.8030601739883423,0.7625779625779625,0.8858,1.0,0.616263440860215
bpic17-0.3-1,0.8635626435279846,0.7185648452929558,0.8371893744644388,0.7416761041902604,0.6968503937007874
wide-0.3-3,0.811011016368866,0.7258947368421053,0.8698,1.0,0.5697290152015863
large-0.3-2,0.8961770534515381,0.8224076281287247,0.9106,1.0,0.6983805668016194
bpic17-0.3-2,0.8305644989013672,0.4936002255427122,0.7911152459588324,0.9636723910171731,0.331766846054726
bpic13-0.3-1,0.666865348815918,0.4172043010752688,0.8177538668459986,0.9603960396039604,0.2664835164835165
small-0.3-3,0.9064184427261353,0.7574750830564785,0.8832,0.9978118161925602,0.6104417670682731
bpic12-0.3-1,0.8479868173599243,0.7219653179190753,0.8529838771299764,0.8346140995656532,0.6361089890501656
huge-0.3-2,0.8311744332313538,0.7724317295188556,0.895,1.0,0.6292372881355932
p2p-0.3-3,0.8657606244087219,0.7860194174757281,0.8898,1.0,0.6474728087012156
wide-0.3-4,0.7694857120513916,0.7771285475792987,0.8932,1.0,0.6354948805460751
huge-0.3-1,0.8401576280593872,0.8154093097913322,0.908,1.0,0.6883468834688347
gigantic-0.3-1,0.7859542369842529,0.640107430617726,0.8392,0.9875690607734806,0.4735099337748344
p2p-0.3-1,0.8907932639122009,0.7783417935702199,0.8952,1.0,0.6371191135734072
wide-0.3-2,0.8236057162284851,0.7953020134228188,0.9024,1.0,0.6601671309192201
bpic15-0.3-2,0.49840983748435974,0.4733178654292344,0.4543269230769231,0.3238095238095238,0.8793103448275862
large-0.3-1,0.8360629677772522,0.8786211954528785,0.9338,1.0,0.7835186396337476
bpic15-0.3-1,0.5801402926445007,0.529650690495532,0.5170975813177648,0.3876337693222354,0.8358974358974359
gigantic-0.3-3,0.7725067138671875,0.7622461170848268,0.8806,0.9989561586638831,0.6162266580811333
medium-0.3-4,0.7908316850662231,0.7566052842273819,0.8784,0.9968354430379747,0.6096774193548387
medium-0.3-2,0.8074722290039062,0.7656514382402707,0.8892,1.0,0.6202878684030158
huge-0.3-4,0.8340694308280945,0.7882059800664453,0.898,1.0,0.6504455106237149
gigantic-0.3-4,0.7834293246269226,0.7616303005351998,0.8842,0.9946236559139785,0.6170780520346898
bpic13-0.3-2,0.6876301169395447,0.5195989061075661,0.7907069102462272,0.8268858800773694,0.37882144439521487
p2p-0.3-2,0.8983139991760254,0.7389770723104057,0.8816,1.0,0.586013986013986
bpic15-0.3-3,0.6173071265220642,0.5316091954022988,0.5372604684173172,0.38784067085953877,0.8447488584474886
bpic15-0.3-5,0.5875374674797058,0.5118934348239771,0.5562283737024222,0.37103448275862067,0.8251533742331288
large-0.3-3,0.8642541170120239,0.8757040931280511,0.9338,1.0,0.7788911155644622
small-0.3-2,0.9114826917648315,0.7627187627187627,0.8834,1.0,0.6164473684210526
huge-0.3-3,0.830793559551239,0.86710072769054,0.9306,1.0,0.7653820148749155
wide-0.3-1,0.8468707799911499,0.7661691542288557,0.8872,0.9956896551724138,0.6226415094339622
paper-0.3-1,0.9325880408287048,0.9112513924990716,0.9522,1.0,0.8369713506139154
small-0.3-1,0.8876272439956665,0.7347287483981205,0.8758,1.0,0.5806887238352465
gigantic-0.3-2,0.791555643081665,0.6883963494132986,0.8566,0.9974811083123426,0.5255474452554745
p2p-0.3-4,0.903264045715332,0.7726141078838173,0.8904,1.0,0.6294793779580797
